model_size,speaker,passage,group,TP,FP,FN,precision,recall,f1
tiny,SA001,grandfather,Substitution Errors,11,35,1,0.2391304348,0.9166666667,0.3793103448
tiny,SA001,grandfather,Deletion Errors,0,2,4,0,0,0
tiny,SA001,grandfather,Insertion Errors,0,0,6,0,0,0
tiny,SA001,grandfather,Repetition Errors,0,0,1,0,0,0
tiny,SA001,rainbow,Substitution Errors,1,30,1,0.03225806452,0.5,0.06060606061
tiny,SA001,rainbow,Deletion Errors,0,3,1,0,0,0
tiny,SA001,rainbow,Insertion Errors,0,0,7,0,0,0
tiny,SA001,rainbow,Repetition Errors,0,0,1,0,0,0
tiny,SA002,grandfather,Substitution Errors,16,25,1,0.3902439024,0.9411764706,0.5517241379
tiny,SA002,grandfather,Deletion Errors,1,1,9,0.5,0.1,0.1666666667
tiny,SA002,grandfather,Insertion Errors,0,3,7,0,0,0
tiny,SA002,grandfather,Repetition Errors,0,3,3,0,0,0
tiny,SA002,rainbow,Substitution Errors,7,25,1,0.21875,0.875,0.35
tiny,SA002,rainbow,Deletion Errors,0,0,5,0,0,0
tiny,SA002,rainbow,Insertion Errors,2,10,2,0.1666666667,0.5,0.25
tiny,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
tiny,SA003,grandfather,Substitution Errors,1,20,1,0.04761904762,0.5,0.08695652174
tiny,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
tiny,SA003,grandfather,Insertion Errors,0,0,1,0,0,0
tiny,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
tiny,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
tiny,SA003,rainbow,Deletion Errors,0,0,1,0,0,0
tiny,SA003,rainbow,Insertion Errors,1,1,0,0.5,1,0.6666666667
tiny,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
tiny,SA004,grandfather,Substitution Errors,9,55,6,0.140625,0.6,0.2278481013
tiny,SA004,grandfather,Deletion Errors,2,0,11,1,0.1538461538,0.2666666667
tiny,SA004,grandfather,Insertion Errors,0,5,12,0,0,0
tiny,SA004,grandfather,Repetition Errors,0,5,2,0,0,0
tiny,SA004,rainbow,Substitution Errors,2,24,4,0.07692307692,0.3333333333,0.125
tiny,SA004,rainbow,Deletion Errors,0,0,2,0,0,0
tiny,SA004,rainbow,Insertion Errors,0,6,2,0,0,0
tiny,SA004,rainbow,Repetition Errors,2,4,0,0.3333333333,1,0.5
tiny,SA005,grandfather,Substitution Errors,4,23,2,0.1481481481,0.6666666667,0.2424242424
tiny,SA005,grandfather,Deletion Errors,0,5,2,0,0,0
tiny,SA005,grandfather,Insertion Errors,0,0,2,0,0,0
tiny,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
tiny,SA005,rainbow,Substitution Errors,4,25,0,0.1379310345,1,0.2424242424
tiny,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
tiny,SA005,rainbow,Insertion Errors,0,2,1,0,0,0
tiny,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
tiny,SA006,grandfather,Substitution Errors,9,52,0,0.1475409836,1,0.2571428571
tiny,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
tiny,SA006,grandfather,Insertion Errors,0,0,8,0,0,0
tiny,SA006,grandfather,Repetition Errors,0,0,2,0,0,0
tiny,SA006,rainbow,Substitution Errors,3,26,2,0.1034482759,0.6,0.1764705882
tiny,SA006,rainbow,Deletion Errors,0,3,1,0,0,0
tiny,SA006,rainbow,Insertion Errors,2,0,3,1,0.4,0.5714285714
tiny,SA006,rainbow,Repetition Errors,0,2,3,0,0,0
base,SA001,grandfather,Substitution Errors,12,22,1,0.3529411765,0.9230769231,0.5106382979
base,SA001,grandfather,Deletion Errors,0,2,4,0,0,0
base,SA001,grandfather,Insertion Errors,0,0,6,0,0,0
base,SA001,grandfather,Repetition Errors,0,0,1,0,0,0
base,SA001,rainbow,Substitution Errors,2,16,0,0.1111111111,1,0.2
base,SA001,rainbow,Deletion Errors,0,1,1,0,0,0
base,SA001,rainbow,Insertion Errors,1,0,6,1,0.1428571429,0.25
base,SA001,rainbow,Repetition Errors,0,1,1,0,0,0
base,SA002,grandfather,Substitution Errors,12,25,0,0.3243243243,1,0.4897959184
base,SA002,grandfather,Deletion Errors,1,0,9,1,0.1,0.1818181818
base,SA002,grandfather,Insertion Errors,0,2,7,0,0,0
base,SA002,grandfather,Repetition Errors,0,2,3,0,0,0
base,SA002,rainbow,Substitution Errors,6,18,2,0.25,0.75,0.375
base,SA002,rainbow,Deletion Errors,0,0,5,0,0,0
base,SA002,rainbow,Insertion Errors,2,1,2,0.6666666667,0.5,0.5714285714
base,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
base,SA003,grandfather,Substitution Errors,1,11,1,0.08333333333,0.5,0.1428571429
base,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
base,SA003,grandfather,Insertion Errors,1,0,0,1,1,1
base,SA003,grandfather,Repetition Errors,0,0,0,0,0,0
base,SA003,rainbow,Substitution Errors,0,0,0,0,0,0
base,SA003,rainbow,Deletion Errors,0,0,1,0,0,0
base,SA003,rainbow,Insertion Errors,1,0,0,1,1,1
base,SA003,rainbow,Repetition Errors,0,0,0,0,0,0
base,SA004,grandfather,Substitution Errors,12,42,3,0.2222222222,0.8,0.347826087
base,SA004,grandfather,Deletion Errors,1,3,11,0.25,0.08333333333,0.125
base,SA004,grandfather,Insertion Errors,1,1,11,0.5,0.08333333333,0.1428571429
base,SA004,grandfather,Repetition Errors,0,2,2,0,0,0
base,SA004,rainbow,Substitution Errors,4,21,3,0.16,0.5714285714,0.25
base,SA004,rainbow,Deletion Errors,0,1,2,0,0,0
base,SA004,rainbow,Insertion Errors,1,6,1,0.1428571429,0.5,0.2222222222
base,SA004,rainbow,Repetition Errors,2,5,0,0.2857142857,1,0.4444444444
base,SA005,grandfather,Substitution Errors,4,14,2,0.2222222222,0.6666666667,0.3333333333
base,SA005,grandfather,Deletion Errors,0,3,2,0,0,0
base,SA005,grandfather,Insertion Errors,0,0,2,0,0,0
base,SA005,grandfather,Repetition Errors,0,0,0,0,0,0
base,SA005,rainbow,Substitution Errors,3,17,0,0.15,1,0.2608695652
base,SA005,rainbow,Deletion Errors,0,0,1,0,0,0
base,SA005,rainbow,Insertion Errors,0,0,1,0,0,0
base,SA005,rainbow,Repetition Errors,0,0,0,0,0,0
base,SA006,grandfather,Substitution Errors,8,37,2,0.1777777778,0.8,0.2909090909
base,SA006,grandfather,Deletion Errors,0,0,0,0,0,0
base,SA006,grandfather,Insertion Errors,0,10,8,0,0,0
base,SA006,grandfather,Repetition Errors,4,6,1,0.4,0.8,0.5333333333
base,SA006,rainbow,Substitution Errors,4,18,1,0.1818181818,0.8,0.2962962963
base,SA006,rainbow,Deletion Errors,0,1,1,0,0,0
base,SA006,rainbow,Insertion Errors,0,0,4,0,0,0
base,SA006,rainbow,Repetition Errors,0,0,3,0,0,0
small,SA001,grandfather,Substitution Errors,9,12,2,0.4285714286,0.8181818182,0.5625
small,SA001,grandfather,Deletion Errors,0,1,4,0,0,0
small,SA001,grandfather,Insertion Errors,0,0,6,0,0,0
small,SA001,grandfather,Repetition Errors,0,0,1,0,0,0
small,SA001,rainbow,Substitution Errors,1,14,1,0.06666666667,0.5,0.1176470588
small,SA001,rainbow,Deletion Errors,0,0,1,0,0,0
small,SA001,rainbow,Insertion Errors,1,0,6,1,0.1428571429,0.25
small,SA001,rainbow,Repetition Errors,0,1,1,0,0,0
small,SA002,grandfather,Substitution Errors,11,13,2,0.4583333333,0.8461538462,0.5945945946
small,SA002,grandfather,Deletion Errors,1,0,9,1,0.1,0.1818181818
small,SA002,grandfather,Insertion Errors,0,1,7,0,0,0
small,SA002,grandfather,Repetition Errors,0,1,3,0,0,0
small,SA002,rainbow,Substitution Errors,5,10,3,0.3333333333,0.625,0.4347826087
small,SA002,rainbow,Deletion Errors,0,3,5,0,0,0
small,SA002,rainbow,Insertion Errors,3,1,1,0.75,0.75,0.75
small,SA002,rainbow,Repetition Errors,0,0,0,0,0,0
small,SA003,grandfather,Substitution Errors,1,3,1,0.25,0.5,0.3333333333
small,SA003,grandfather,Deletion Errors,0,0,0,0,0,0
